,artist.name,track.name,album.name,album.type,popularity,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode
117,City Girls,Act Up,Girl Code,album,74,hiphop,0.938,0.638,8,-4.713,0.189,0.0167,0,0.111,0.313,97.075,4,G#,major,G# major
118,YG,"Go Loko (feat. Tyga, Jon Z)",4REAL 4REAL,album,74,hiphop,0.88,0.67,2,-5.177,0.0468,0.325,4.17E-06,0.0662,0.131,101.008,4,D,major,D major
119,Lil Nas X,Panini,7 EP,single,73,hiphop,0.703,0.594,5,-6.146,0.0752,0.342,0,0.123,0.475,153.848,4,F,minor,F minor
120,Offset,Clout (feat. Cardi B),FATHER OF 4,album,73,hiphop,0.919,0.622,1,-7.384,0.0997,0.228,4.24E-06,0.122,0.424,140.022,4,C#,major,C# major
121,Flipp Dinero,How I Move (feat. Lil Baby),How I Move (feat. Lil Baby),single,71,hiphop,0.826,0.635,5,-5.181,0.212,0.102,0,0.245,0.808,119.954,4,F,minor,F minor
122,NAV,Tap (feat. Meek Mill),Bad Habits (Deluxe),album,71,hiphop,0.901,0.676,2,-7.033,0.251,0.0646,0,0.0863,0.452,85.018,4,D,major,D major
123,Nipsey Hussle,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Racks in the Middle (feat. Roddy Ricch and Hit-Boy),single,70,hiphop,0.671,0.833,5,-5.152,0.395,0.0825,0,0.0726,0.702,79.351,4,F,minor,F minor
124,Rick Ross,Gold Roses (feat. Drake),Port of Miami 2,album,70,hiphop,0.502,0.633,1,-5.8,0.419,0.00991,0,0.389,0.552,83.226,4,C#,major,C# major
125,Dreamville,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Revenge Of The Dreamers III,album,69,hiphop,0.761,0.586,0,-5.368,0.359,0.0392,0,0.0558,0.719,149.804,4,C,major,C major
126,DJ Khaled,Wish Wish (feat. Cardi B & 21 Savage),Father Of Asahd,album,68,hiphop,0.861,0.666,8,-5.18,0.343,0.00218,0,0.272,0.853,145.041,4,G#,minor,G# minor
127,Mulatto,B*tch From Da Souf,B*tch From Da Souf,single,68,hiphop,0.863,0.235,1,-15.545,0.699,0.0241,0,0.123,0.399,150.062,4,C#,major,C# major
128,NLE Choppa,Shotta Flow,Shotta Flow,single,67,hiphop,0.888,0.43,9,-6.728,0.588,0.0786,1.58E-06,0.132,0.45,120.088,4,A,major,A major
129,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",Diaspora,album,67,hiphop,0.926,0.68,2,-7.689,0.196,0.0471,0.000125,0.119,0.458,114.981,4,D,major,D major
130,Cordae,Broke As Fuck,The Lost Boy,album,67,hiphop,0.616,0.669,1,-5.791,0.32,0.0298,0,0.127,0.275,154.056,4,C#,major,C# major
131,Tory Lanez,Freaky,LoVE me NOw (ReLoAdeD),album,66,hiphop,0.966,0.563,8,-5.764,0.0618,0.00202,0,0.105,0.363,104.991,4,G#,major,G# major
132,Lil Tjay,F.N,F.N,single,66,hiphop,0.562,0.502,6,-10.269,0.255,0.323,0,0.0757,0.322,120.104,1,F#,minor,F# minor
