word,n
둘이니까,5
둘이서,5
뒤돌아,5
들어봐,5
들은,5
따라가,5
따라오면,5
따스한,5
따위,5
땜에,5
떨어,5
뛰게,5
마냥,5
만나면,5
말할,5
말해도,5
맘도,5
맘만,5
맛,5
매,5
매번,5
맨정신이,5
머물러줘,5
멋대로만,5
멍하니,5
모르고,5
모르죠,5
모습을,5
모아,5
모여,5
목소리로,5
몸을,5
못하고,5
문득,5
문제야,5
뭔데,5
미련,5
미리,5
미안해요,5
바뀌어,5
바뀌었네,5
바라본,5
밖에,5
반짝일,5
받는,5
배려,5
배앰,5
벌려,5
변함없는,5
보색,5
부드러운,5
분위기,5
붉어진,5
붙어,5
붙어서,5
비가,5
비로소,5
비밀이,5
비친,5
빛,5
빨갛게,5
뿔이,5
사과하기,5
사람이,5
사랑한다고,5
사랑해서,5
사랑했던,5
상처를,5
색칠하고,5
생긴,5
서로가,5
서툴게,5
설명이,5
세계로,5
세상은,5
소중했던,5
속엔,5
쉽지,5
스타일,5
슬쩍,5
시작,5
시작되는,5
싶게,5
싶어우리끼리,5
써,5
아니니까,5
아니야,5
아름다울,5
아이처럼,5
아프게,5
아프지,5
안의,5
않던,5
알게,5
알면서도,5
약속하지,5
얘기가,5
얘랑,5
어디까지,5
어디든지,5
어디로,5
어린,5
어릴,5
어제처럼,5
어지럽게,5
언제든,5
없네,5
없는데,5
없다,5
열기,5
영화,5
영화의,5
예술가에,5
오,5
오는,5
온다면,5
외톨이,5
요즘,5
욕심이,5
우윳빛,5
운명처럼,5
웃을,5
원하고,5
유난히,5
은,5
의미,5
이기적인,5
이대로만,5
이별길을,5
이예이예,5
이예이예이예이예,5
이제는,5
이제서야,5
인상,5
일은,5
입술이,5
있는지,5
있던,5
있소,5
잊고,5
자연스럽게,5
자자,5
잠겨,5
잡히지가,5
장식이,5
쟤랑,5
전,5
전까지,5
정도면,5
정반대,5
정신을,5
정해진,5
제멋대로,5
조명,5
종일,5
좋아질,5
좋아해,5
주고,5
중심이,5
지고,5
지내,5
진심을,5
찬,5
치며,5
친구,5
캄캄한,5
태양이,5
텅,5
통로가,5
툭,5
파란,5
펴고,5
펼쳐,5
포근한,5
포도,5
표정이,5
푸른,5
품,5
피부가,5
하나까지,5
하늘로,5
하늘을,5
하던,5
할까,5
함께하고,5
했잖아,5
향이,5
현실,5
현실을,5
현실이,5
화려한,5
화를,5
활활,5
흔들려,5
흠뻑,5
힘들었던,5
힘이,5
了,5
去,5
着,5
100,4
action,4
